timestamp,accel_x,accel_y,accel_z,gyro_alpha,gyro_beta,gyro_gamma
1778763939259,-10,-2.3000000000000003,9.3,-6.8,-2.4000000000000004,-451.5
1778763939277,-10.100000000000001,-2.2,10.600000000000001,-4,3.7000000000000006,-445.40000000000003
1778763939292,-9.200000000000001,-2.1,9.4,-4,1.8000000000000003,-439.29999999999995
1778763939309,-9.3,-1.9000000000000001,10.5,-6.300000000000001,1.5,-434.1
1778763939326,-8.700000000000001,-2,10.4,-6,2.5,-431.2
1778763939343,-8.700000000000001,-1.9000000000000001,9.200000000000001,-5.8,4.5,-426.2
1778763939360,-9,-1.9000000000000001,9.600000000000001,-6.4,6.300000000000001,-423.70000000000005
1778763939377,-8.200000000000001,-2,9.5,-5.1000000000000005,3,-418.6
1778763939393,-9.200000000000001,-2,10.600000000000001,-3.8,4.4,-413.1
1778763939409,-7.5,-1.9000000000000001,9.200000000000001,-4,1.7,-410
1778763939426,-8.6,-1.6,10.200000000000001,-5.300000000000001,2.2,-405.5
1778763939443,-7.800000000000001,-1.5,9.200000000000001,-1.2000000000000002,1.6,-399.8
1778763939459,-7.800000000000001,-1.5,11,-6.500000000000001,3.3000000000000007,-397.5
1778763939476,-7.5,-2,11,-6.300000000000001,1.9,-393
1778763939493,-7.4,-1.9000000000000001,8.8,-4.1,2.2,-388.30000000000007
1778763939510,-7.300000000000001,-1.6,9.200000000000001,-3.4,1.6,-386.50000000000006
1778763939526,-7,-1.8,9.9,-4.800000000000001,1.7,-382.4000000000001
1778763939543,-7,-1.9000000000000001,10,-3.4,3,-380.1
1778763939559,-6.9,-1.6,9.5,-4,2,-376
1778763939577,-7,-1.4000000000000001,9.3,-3,3.2,-372.9
1778763939592,-6.300000000000001,-1.5,9.700000000000001,-1.8000000000000003,2,-369.8
1778763939609,-6.7,-1.5,9.8,-4.4,3.8,-368.2
1778763939626,-6.6000000000000005,-1.4000000000000001,9.600000000000001,-3.6000000000000005,4.2,-364.30000000000007
1778763939642,-6.4,-1.4000000000000001,10.4,-4,1.2000000000000002,-362.80000000000007
